nr,genres,popularity,spoken_languages,vote_average,keywords,budget,adult
1,[18],23.43,['English'],8.5,"[934, 1417, 2118, 2122, 2123, 2124, 2142, 3012, 3772, 6069, 6139, 6148, 10181, 12999, 33519, 214780]",350000,False
2,"[878, 9648, 12]",26.587,"['English', 'Russian']",8.1,"[305, 306, 310, 312, 1576, 3222, 3801, 4040, 12185, 14626, 34117, 34152, 155689, 156039, 161176, 252104]",12000000,False
3,"[18, 35]",49.67,"['Hindi', 'English']",8.0,"[236, 1252, 3616, 4344, 9253, 9713, 10160, 10683, 162177]",9000000,False
4,"[18, 10749]",22.937,['English'],7.8,"[30, 222, 1700, 2038, 2051, 2303, 2304, 2305, 2307, 2309, 2461, 2462, 5565, 6009, 6262]",60000000,False
5,"[878, 18]",30.729,['English'],8.2,"[212, 542, 642, 738, 818, 970, 1025, 1541, 2438, 3679, 4565, 6259, 8201, 14857, 34117, 189409, 192260, 242689]",2200000,False
6,[18],12.606,['English'],7.7,"[380, 531, 570, 1565, 2102, 2320, 2411, 10235, 11209, 12999, 157131, 160945, 241738]",1800000,False
7,"[27, 878]",41.904,"['English', 'Spanish']",8.1,"[803, 1612, 1825, 1826, 1828, 1829, 3801, 4565, 6016, 7956, 9882, 9951, 11322, 34117, 157634, 161176, 204390, 226177]",11000000,False
8,[18],13.426,"['English', 'French']",8.2,"[10965, 12396, 12999, 14534, 15320, 156028, 156866, 190481, 239106]",1400000,False
9,"[18, 10752]",11.695,"['German', 'French', 'English', 'Latin']",7.8,"[74, 260, 1627, 2504, 6054, 6092, 10075, 10141, 11139, 11872, 12999, 13065, 18543, 33638, 34079, 156764, 165431, 177094, 188725, 227807, 235080]",1448864,False
10,"[36, 10402, 18]",16.702,"['German', 'English', 'Italian', 'Latin']",8.0,"[131, 1201, 1233, 2199, 2276, 2280, 4048, 5809, 7881, 9649, 9826, 18267, 155624, 160279]",18000000,False
11,[18],27.168,['English'],8.0,"[596, 970, 1599, 1862, 2201, 2249, 2389, 2918, 2920, 3259, 8201, 9957, 10123, 10532, 10683, 10776, 14720, 33611, 34094, 179173, 229238, 239239, 264384]",15000000,False
12,[18],24.839,['English'],8.4,"[376, 378, 379, 380, 570, 1755, 5301, 6496, 9890, 10873, 11105, 12670, 18035, 41509, 160910, 165583, 191726]",20000000,False
13,"[18, 53]",20.215,['Spanish'],7.6,"[960, 1547, 5600, 7879, 10404, 10594, 15162, 157171, 171366, 209987]",2000000,False
14,"[80, 18, 9648, 53]",12.674,"['English', 'Italian']",7.9,"[570, 596, 818, 931, 933, 934, 1315, 1416, 1417, 3012, 10909, 11038, 33519, 207240, 214780]",2000000,False
15,"[35, 18, 10749]",12.439,"['English', 'German']",7.8,"[242, 1488, 2150, 2398, 2835, 3485, 3489, 6075, 9673, 9799, 10229, 11687, 160442, 162463, 169280]",4000000,False
16,"[18, 10752]",24.906,"['Khmer', 'English', 'French', 'Vietnamese']",8.3,"[591, 726, 736, 818, 1008, 2956, 2957, 2959, 2960, 3269, 6092, 6255, 6917, 9887, 10148, 10364, 10403, 10787, 11323, 14707, 158244, 162365, 165431]",31500000,False
17,"[35, 80]",7.272,['English'],7.6,"[351, 1227, 2602, 3335, 6038, 6255, 9826, 10714, 13028, 13092, 156273]",1120175,False
18,"[12, 35, 878, 10751]",48.438,['English'],8.3,"[389, 391, 830, 949, 951, 952, 953, 955, 999, 1436, 1743, 3338, 4379, 4776, 6733, 9104, 9789, 10125, 11860, 18425, 40850, 186189, 187376, 187710, 189449, 206687, 206715, 206720, 206735, 206736, 206737, 208611, 276350]",19000000,False
19,"[18, 10749, 10752]",13.052,"['German', 'French', 'English']",8.0,"[818, 3998, 4100, 5330, 6917, 11061, 14985, 157788, 160279, 177997, 177998, 177999]",11000000,False
20,"[28, 80, 18]",52.612,"['English', 'Urdu', 'Mandarin']",7.7,"[697, 779, 849, 853, 1308, 1568, 7002, 9715, 9717, 9823, 10044, 10278, 33637, 173719, 179095, 206694, 206716]",150000000,False
21,"[10749, 10751, 16, 14]",67.878,"['French', 'English']",7.7,"[3071, 3098, 3259, 4344, 7376, 161271, 272405]",25000000,False
22,"[18, 10749]",15.618,"['English', 'German', 'French']",8.0,"[813, 814, 815, 816, 1201, 18267]",2500000,False
23,"[28, 18, 36]",30.735,['English'],7.8,"[186, 539, 1405, 2315, 2433, 2618, 3035, 3071, 3339, 3341, 3575, 5049, 5744, 6078, 6917, 9673, 9713, 9714, 9748, 10062, 11001, 11436, 11704, 12995, 15060, 34137, 154820, 158449, 168022, 182677, 191440, 192491, 201086, 209157, 215659, 222185, 230097, 276929, 278354]",15000000,False
24,"[18, 53, 27]",33.174,"['English', 'French', 'Italian']",7.6,"[242, 246, 271, 733, 1523, 2340, 6255, 10551, 12565, 34265, 41329, 41410, 157314, 173646, 187256]",13000000,False
25,"[878, 18, 53]",35.534,"['English', 'German', 'Cantonese', 'Japanese', 'Hungarian']",7.9,"[310, 391, 801, 803, 818, 4565, 6017, 9685, 10718, 12190, 12670, 34117, 178657, 207268]",28000000,False
26,"[28, 18, 36, 10752]",34.089,"['English', 'French', 'Latin', 'Gaelic']",7.9,"[30, 388, 930, 2020, 3370, 3754, 4097, 6089, 6917, 6987, 7629, 9672, 9725, 12995, 14643, 158431, 161257, 162845, 189433, 190532, 208070, 215160, 234722, 239847]",72000000,False
27,"[37, 18, 80]",15.604,"['English', 'Spanish']",7.6,"[1560, 3228, 3230, 10562, 10950, 15214, 156120, 160799, 171795, 220650, 222934]",6000000,False
